username,category,bio,followers,avg_likes,avg_comments,avg_views,engagement_rate(%),post_count
diyya_x,Fashion Model,"📍- Abuja x Lagos
Fashion,Commercial Model 
Coolest Northern Girl.
Self-proclaimed Crocs ambassador.",10440,889,55,2835,9.17,102
modelsdiscoveri,Personal blog,NEW #DISCOVERIES,43363,618,8,0,1.45,2194
model,Community,(2023)🌐,41070,556,39,0,1.33,3
skimmer_models_africa,Modeling Agency,"INTERNATIONAL MOTHER AGENCY
SCOUTING,DEVELOPMENT/GLOBAL PLACEMENT🌎
ESt:2020
Backup Account: @skimmer_models
Location:Uyo,Akwa Ibom State, Nigeria🇳🇬",14162,55,2,0,0.3,1233
moavers_model,Modeling Agency,"Standard Prestigious Model Agency .
Based in Africa | Milan. 
Scouting page @moaversmodelscout",24396,900,5,422,4.0,576
sheistyana,Fashion Model,"FAITH | FASHION | LIFESTYLE 
Showing you what it means to be transformed by Christ 
📧:tyanaameh2@gmail.com",19275,864,85,2732,4.93,132
thedekageorge,Digital creator,"Influencer|Content Creator|Model
Restaurant|Location|Tour
Everything Should be Reviewed 😉
Living through my content 📷
Abuja 🇳🇬
Dm for Advert Placement",87168,261,34,1542,0.21,253
heroesmodels,Modeling Agency,"#HeroesModels 
For modeling applications please email info@heroesmodels.com or apply on our website.",55446,194,6,795,0.2,3249
enrolemodels,Modeling Agency,Africa's most diversed Mother Agency with global partners.,28282,0,4,125,0,1268
newfamemodels,Modeling Agency,"Africa’s Leading Model/Talent Management✨✨✨
Talent MGT: @newfameinfluence 
Fashion | Skincare | Makeup | Creativity 
Abuja | Lagos | Plateau 🌍",16712,0,1,409,0,1285
adaoramodels,Modeling Agency,"MODEL MGMT COMPANY WITH GLOBAL PARTNERS
Subsidiary of @adaoramanagement
Become a Model✨@beadaorable
Train with us👠@adaoraacademy 
🎞️ @the.adaorables
.",23302,229,16,807,1.0,53
nigerian_modelz,Blogger,"🌍Showcasing Nigerian Models to the world🌍
💐We are NOT AN AGENCY💐
📸 To get featured Dm us your Polaroids, 📸
💵Advertise with us. It's so easy 💵",10484,137,2,0,1.45,812
modelefatoyinbo,Public figure,"The Official Instagram Page For Pastor Modele Fatoyinbo, Senior Pastor - The Commonwealth of Zion Assembly (COZA) Worldwide",35989,659,0,6549,1.85,3218
rhodaalbert,Actor,"Creative lead @rhodasvoice 
🎬: Paulina #wurashowmax
🎬: Nere #AMRIONA 
me@rhodaalbert.com",37151,1905,97,9736,5.4,480
